Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Teen Titans GO! to the Movies,2018,PG,27 Jul 2018,84 min,"Animation, Action, Adventure, Comedy, Family, Musical, Sci-Fi","Aaron Horvath, Peter Rida Michail","Michael Jelenic, Aaron Horvath, Jerry Siegel (Superman created by), Joe Shuster (Superman created by), Marv Wolfman (based on characters created by), George Pérez (based on characters created by), Arnold Drake (based on characters created by), Bob Kane (Batman and Robin created by), Bill Finger (Batman and Robin created by), William Moulton Marston (Wonder Woman created by)","Greg Cipes, Scott Menville, Khary Payton, Tara Strong",A villain's maniacal plan for world domination sidetracks five teenage superheroes who dream of Hollywood stardom.,English,USA,8 nominations.,https://m.media-amazon.com/images/M/MV5BOTZhMTIwZDUtYjZjZS00MmViLTg3NzEtNWE5NzI1NDUwNDJmXkEyXkFqcGdeQXVyODQxMTI4MjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,6.8,"14,615",tt7424200,movie,30 Oct 2018,N/A,Warner Bros. Pictures,N/A,True
211,2018,R,08 Jun 2018,86 min,"Action, Crime, Drama",York Alec Shackleton,"York Alec Shackleton (based on a screenplay by), John Rebus (screenplay by)","Nicolas Cage, Sophie Skelton, Michael Rainey Jr., Dwayne Cameron","While on a routine patrol, an aging cop, his partner and their ride-along get caught in a standoff with a band of former mercenaries robbing a bank.",English,"USA, Bulgaria",N/A,https://m.media-amazon.com/images/M/MV5BMTkxNjA0MjMzNF5BMl5BanBnXkFtZTgwNTM2NzczNTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '5%'}, {'Source': 'Metacritic', 'Value': '21/100'}]",21,4.4,"6,040",tt4976192,movie,10 Jul 2018,N/A,Momentum Pictures,N/A,True
Looking Glass,2018,R,16 Feb 2018,103 min,"Mystery, Thriller",Tim Hunter,Jerry Rapp,"Nicolas Cage, Robin Tunney, Marc Blucas, Ernie Lively","A couple buy a desert motel where they find that strange, mysterious events occur.",English,"Canada, USA",N/A,https://m.media-amazon.com/images/M/MV5BMTYxMzg1OTI3Nl5BMl5BanBnXkFtZTgwOTQ4Njk2NDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",33,4.6,"4,600",tt6083648,movie,03 Apr 2018,N/A,Momentum Pictures,N/A,True
Mandy,2018,Not Rated,14 Sep 2018,121 min,"Action, Fantasy, Horror, Mystery, Thriller",Panos Cosmatos,"Panos Cosmatos, Aaron Stewart-Ahn, Panos Cosmatos (story by), Chris 'Casper' Kelly (Cheddar Goblin ad)","Nicolas Cage, Andrea Riseborough, Linus Roache, Ned Dennehy","The enchanted lives of a couple in a secluded forest are brutally shattered by a nightmarish hippie cult and their demon-biker henchmen, propelling a man into a spiraling, surreal rampage of vengeance.",English,"UK, Belgium, USA",12 wins & 40 nominations.,https://m.media-amazon.com/images/M/MV5BMjk1MjhmZWQtNzU3OC00NDE4LThlODQtNTdhZGM4M2E3MWZkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,6.6,"52,667",tt6998518,movie,30 Oct 2018,N/A,RLJE Films,N/A,True
Dark,2017,N/A,11 Dec 2017,75 min,"Drama, Thriller",Paul Schrader,Paul Schrader,"Nicolas Cage, Irène Jacob, Anton Yelchin",N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZmVjNThiNjAtYTE5Yi00OGZjLWIyNmYtMWNlOWEyMzZiZTkzXkEyXkFqcGdeQXVyMDY4MzkyNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,20,tt10690676,movie,N/A,N/A,N/A,N/A,True
The Humanity Bureau,2017,R,06 Apr 2018,95 min,"Action, Adventure, Sci-Fi, Thriller",Rob W. King,Dave Schultz,"Nicolas Cage, Sarah Lind, Jakob Davies, Hugh Dillon",A dystopian thriller set in the year 2030 that sees the world in a permanent state of economic recession and facing serious environmental problems as a result of global warming.,English,"Canada, USA, UK",1 win.,https://m.media-amazon.com/images/M/MV5BMjQwNTk0NzAzNl5BMl5BanBnXkFtZTgwOTkyNzA2NDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,"7,998",tt6143568,movie,N/A,N/A,N/A,N/A,True
Mom and Dad,2017,R,09 Mar 2018,86 min,"Comedy, Horror, Thriller",Brian Taylor,Brian Taylor,"Nicolas Cage, Selma Blair, Anne Winters, Zackary Arthur",A teenage girl and her younger brother must survive a wild 24 hours during which a mass hysteria of unknown origin causes parents to turn violently on their own kids.,English,"USA, UK",1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BZGRkM2Q3MmEtNzIyZC00NDdmLWFiMjEtMjk2NjNlODYwOWVlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,5.5,"18,109",tt5462326,movie,N/A,N/A,N/A,N/A,True
Inconceivable,2017,R,30 Jun 2017,105 min,"Drama, Thriller",Jonathan Baker,Chloe King,"Gina Gershon, Nicky Whelan, Nicolas Cage, Sienna Soho Baker","A mother looks to escape her abusive past by moving to a new town where she befriends another mother, who grows suspicious of her.",English,"UK, USA",N/A,https://m.media-amazon.com/images/M/MV5BNWM0ODdkNTYtNjAwNS00OTE1LTlhMWMtOGE5OThjM2MzMzAwXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}]",N/A,5.2,"7,435",tt3481634,movie,29 Aug 2017,N/A,Lionsgate Premiere,N/A,True
Vengeance: A Love Story,2017,TV-MA,15 Sep 2017,99 min,"Action, Crime, Drama, Thriller",Johnny Martin,"John Mankiewicz (screenplay by), Joyce Carol Oates (based upon the Novel "" Rape: A Love Story"" by)","Nicolas Cage, Anna Hutchison, Talitha Eliana Bateman, Deborah Kara Unger",A group of strangers come to the aid of a single mother seeking to bring her rapists to justice.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZGY2MDBiM2UtZTU4NC00OTU4LTg4ZjUtNTQxM2Q5Mzg3N2Q2XkEyXkFqcGdeQXVyMjAyNjIzOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,"6,217",tt5460530,movie,15 Sep 2017,"$4,526",Patriot Pictures,N/A,True
Arsenal,2017,R,06 Jan 2017,97 min,"Action, Crime, Thriller",Steven C. Miller,Jason Mosberg,"Nicolas Cage, John Cusack, Adrian Grenier, Johnathon Schaech",A Southern mobster attempts to rescue his kidnapped brother.,English,"USA, Canada",N/A,https://m.media-amazon.com/images/M/MV5BMTEyMzk3ODYzMzdeQTJeQWpwZ15BbWU4MDk0MDc3ODAy._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '3%'}, {'Source': 'Metacritic', 'Value': '25/100'}]",25,4.0,"3,744",tt5580536,movie,28 Mar 2017,N/A,Emmett/Furla/Oasis Films,N/A,True
Army of One,2016,R,17 Nov 2016,92 min,"Biography, Comedy",Larry Charles,"Rajiv Joseph, Scott Rothman","Nicolas Cage, Russell Brand, Wendi McLendon-Covey, Amer Chadha-Patel","After a personal visit by God himself, the eccentric construction worker Gary Faulkner takes the decision to embark on an adventure in the badlands of Pakistan to bring Al-Qaeda's leader Osama Bin Laden to justice.",N/A,USA,N/A,https://m.media-amazon.com/images/M/MV5BZTc0N2U0ODYtNDFkZC00NWI1LWFlZWItMmIwYmQ0NGYyNDYzXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,5.1,"6,176",tt4382824,movie,15 Nov 2016,N/A,Conde Nast Entertainment,N/A,True
USS Indianapolis: Men of Courage,2016,R,14 Oct 2016,128 min,"Action, Drama, History, Thriller, War",Mario Van Peebles,"Cam Cannon, Richard Rionda Del Castro","Nicolas Cage, Tom Sizemore, Thomas Jane, Matt Lanter","During World War II, an American navy ship is sunk by a Japanese submarine leaving 890 crewmen stranded in shark infested waters.","English, Japanese",USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BYmYxYjAxNDItZWY2NC00MTE1LWIxNGMtZjkzOTM3MzIwM2RjXkEyXkFqcGdeQXVyNDI0MTYyNzU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",30,5.2,"10,327",tt2032572,movie,24 Jan 2017,N/A,Saban Films,N/A,True
Snowden,2016,R,16 Sep 2016,134 min,"Biography, Crime, Drama, Thriller",Oliver Stone,"Kieran Fitzgerald (screenplay by), Oliver Stone (screenplay by), Luke Harding (book), Anatoly Kucherena (book)","Melissa Leo, Zachary Quinto, Joseph Gordon-Levitt, Jaymes Butler","The NSA's illegal surveillance techniques are leaked to the public by one of the agency's employees, Edward Snowden, in the form of thousands of classified documents distributed to the press.","English, American Sign Language, Russian","UK, France, Germany, USA",3 wins & 7 nominations.,https://m.media-amazon.com/images/M/MV5BMTg2MzYzNzgzOF5BMl5BanBnXkFtZTgwOTg4NzQ4OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,7.3,"126,190",tt3774114,movie,27 Dec 2016,"$21,562,346",Open Road Films,N/A,True
Dog Eat Dog,2016,Not Rated,11 Nov 2016,93 min,"Action, Thriller",Paul Schrader,"Edward Bunker (based on the novel by), Matthew Wilder","Nicolas Cage, Willem Dafoe, Christopher Matthew Cook, Omar J. Dorsey",A crew of ex-cons are hired by a Cleveland mafioso to kidnap the baby of a rival mobster.,English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTc0ODExNjM4NV5BMl5BanBnXkFtZTgwNzY4ODYxMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,4.7,"7,160",tt4054654,movie,27 Dec 2016,N/A,Ingenious Media,N/A,True
The Trust,2016,R,13 May 2016,92 min,"Crime, Drama, Thriller","Alex Brewer, Benjamin Brewer","Benjamin Brewer, Adam Hirsch","Nicolas Cage, Elijah Wood, Sky Ferreira, Eric Heister",A pair of cops investigating a drug invasion stumble upon a mysterious bank vault.,"English, German",USA,N/A,https://m.media-amazon.com/images/M/MV5BMTA4NjE3OTk1MzdeQTJeQWpwZ15BbWU4MDMwMTk1Mjgx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,5.4,"16,643",tt3733774,movie,02 Aug 2016,N/A,Hassell Free Production,N/A,True
Pay the Ghost,2015,Not Rated,25 Sep 2015,94 min,"Drama, Horror, Mystery, Thriller",Uli Edel,"Tim Lebbon (novel), Dan Kay (screenplay)","Nicolas Cage, Sarah Wayne Callies, Veronica Ferres, Lyriq Bent",A professor frantically searches for his son who was abducted during a Halloween carnival.,"English, Spanish, Chinese, Scottish Gaelic",USA,1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMzY3MTc3NzQ1Nl5BMl5BanBnXkFtZTgwNjk2MDE3NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '10%'}, {'Source': 'Metacritic', 'Value': '23/100'}]",23,5.2,"14,788",tt3733778,movie,N/A,N/A,Voltage Films,N/A,True
The Runner,2015,R,07 Aug 2015,90 min,Drama,Austin Stark,Austin Stark,"Nicolas Cage, Sarah Paulson, Peter Fonda, Connie Nielsen","In the aftermath of the 2010 BP oil spill, an idealistic but flawed politician is forced to confront his dysfunctional life after his career is destroyed in a sex scandal.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTkyMDkwNDIyMV5BMl5BanBnXkFtZTgwNDU1OTEwNjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '24%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39,4.7,"4,715",tt3687398,movie,25 Aug 2015,N/A,Alchemy,N/A,True
Dying of the Light,2014,R,05 Dec 2014,94 min,"Action, Drama, Thriller",Paul Schrader,Paul Schrader (screenplay),"Nicolas Cage, Anton Yelchin, Alexander Karim, Irène Jacob","When a devastating illness threatens to end Evan Lake's career in the C.I.A., he goes rogue to hunt down a terrorist who tortured him during a mission gone awry years ago.","English, Romanian, Arabic","Bahamas, USA",N/A,https://m.media-amazon.com/images/M/MV5BMmZmZjZiZGUtNDcyMS00Y2FiLTk5MTMtZGVjOGVmZDkzZWNhXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '8%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",31,4.4,"9,177",tt1274586,movie,17 Feb 2015,N/A,The Film Arcade,N/A,True
Left Behind,2014,PG-13,03 Oct 2014,110 min,"Action, Drama, Fantasy, Mystery, Thriller",Vic Armstrong,"Jerry B. Jenkins (based on novel), Tim LaHaye (based on novel), Paul Lalonde, John Patus","Nicolas Cage, Chad Michael Murray, Cassi Thomson, Nicky Whelan",A small group of survivors are left behind after millions of people suddenly vanish and the world is plunged into chaos and destruction.,English,"USA, Canada",5 nominations.,https://m.media-amazon.com/images/M/MV5BMjI4MjA2OTQxMF5BMl5BanBnXkFtZTgwMjcyMTI2MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '1%'}, {'Source': 'Metacritic', 'Value': '12/100'}]",12,3.1,"35,095",tt2467046,movie,06 Jan 2015,"$10,649,893",Freestyle Releasing,N/A,True
Outcast,2014,Not Rated,03 Apr 2015,99 min,"Action, Adventure, Drama, Thriller",Nick Powell,James Dormer,"Alexandre Bailly, Bozhao Wang, Nicolas Cage, Kahina Carina","A mysterious warrior teams up with the daughter and son of a deposed Chinese Emperor to defeat their cruel brother, who seeks their deaths.",English,"Canada, China, USA, France",N/A,https://m.media-amazon.com/images/M/MV5BODk0MTE3ODg5MV5BMl5BanBnXkFtZTgwNDMwMjEyNDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '5%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",33,4.6,"11,882",tt1552224,movie,31 Mar 2015,N/A,Eone Films,N/A,True
Rage,2014,Not Rated,09 May 2014,92 min,"Action, Crime, Thriller",Paco Cabezas,"Jim Agnew, Sean Keller","Nicolas Cage, Rachel Nichols, Max Ryan, Michael McGrady","When the daughter of a reformed criminal is kidnapped, he rounds up his old crew and seeks his own brand of justice.",English,"USA, France",1 nomination.,https://m.media-amazon.com/images/M/MV5BMTg1ODg4NjUzNF5BMl5BanBnXkFtZTgwOTU5NDc3MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '28/100'}]",28,5.0,"22,499",tt2401807,movie,12 Aug 2014,N/A,RLJ/Image Entertainment,N/A,True
Joe,2013,R,11 Apr 2014,117 min,"Crime, Drama",David Gordon Green,"Gary Hawkins, Larry Brown (based on the novel by)","Nicolas Cage, Tye Sheridan, Gary Poulter, Ronnie Gene Blevins","An ex-con, who is the unlikeliest of role models, meets a 15-year-old boy and is faced with the choice of redemption or ruin.",English,USA,4 wins & 9 nominations.,https://m.media-amazon.com/images/M/MV5BMjExMzk5MTM1Ml5BMl5BanBnXkFtZTgwNzAzODgxMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,6.9,"43,840",tt2382396,movie,17 Jun 2014,"$257,588",Roadside Attractions,N/A,True
The Frozen Ground,2013,R,11 Jul 2013,105 min,"Crime, Drama, Thriller",Scott Walker,Scott Walker,"Nicolas Cage, Vanessa Hudgens, John Cusack, Dean Norris",An Alaska State Trooper partners with a young woman who escaped the clutches of serial killer Robert Hansen to bring the murderer to justice. Based on actual events.,"English, French",USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BYzM3Mjc1ZDItMTE1OC00ODk0LWFmZjctYzgxZmYwNzliMTdkXkEyXkFqcGdeQXVyMTAxNDE3MTE5._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37,6.4,"53,973",tt2005374,movie,01 Oct 2013,"$89,515",The Film Arcade,N/A,True
